iter	Logloss
0	0.6417868597
5	0.4617880416
10	0.373953951
15	0.3207651361
20	0.2836338797
25	0.251478806
30	0.2283279827
35	0.2090832832
40	0.1913714527
45	0.1806218331
50	0.1660053608
55	0.1529834511
60	0.1416793379
65	0.1305395335
70	0.1219902281
75	0.1144012952
80	0.1060410752
85	0.09791182739
90	0.09234986235
95	0.08724156162
100	0.08194438291
105	0.07840207093
110	0.07406811484
115	0.0710833586
120	0.06826530582
125	0.06507036748
130	0.06233153774
135	0.05829505024
140	0.05577026746
145	0.0531959855
150	0.05082952252
155	0.04826748006
160	0.04646303299
165	0.04438879826
170	0.04269474571
175	0.04129444572
180	0.03981503994
185	0.03871429655
190	0.03736164673
195	0.03591318245
200	0.03461757664
205	0.03359963254
210	0.03207619792
215	0.0308681289
220	0.02982251965
225	0.0286794386
230	0.02782484494
235	0.0266889051
240	0.02572369368
245	0.02495211351
250	0.02432006096
255	0.02359935546
260	0.02269955592
265	0.0222187496
270	0.02155552781
275	0.02108539837
280	0.02058044226
285	0.02010228543
290	0.01968393034
295	0.01900396605
300	0.0185486354
305	0.01819557944
310	0.01779694893
315	0.01739655172
320	0.01706999289
324	0.01661840647
