,Balanced_Accuracy,F1,MCC,PR_AUC,Precision,ROC_AUC,Recall,Threshold,Training_Time(s),Overall Performance Index
Ensemble,0.7027737010213574,0.5073130273064864,0.49521512218188546,0.5441724798197701,0.6652353002098087,0.8643056170987866,0.4272957169849538,,,0.6368517788941174
Random Forest,0.6636394542122467,0.4501682143732995,0.4700140905175929,0.5252353293480706,0.7705199194098635,0.860580967053957,0.34053882000563046,,6.244393269220988,0.6251362952548278
XGBoost,0.6987093042465107,0.4982250235813998,0.48394548874386195,0.5267839051611821,0.6465905546158386,0.8511840540742694,0.41818667078755706,,,0.6242056317230211
CatBoost,0.6923644711789266,0.48694180607729104,0.47599945836288754,0.5249634310882897,0.6516606634789942,0.8455400925102522,0.4064802811001211,,,0.6190213853951844
Deep Neural Network,0.7271650885151804,0.48171512284047296,0.4404957282700282,0.48745279535008507,0.4705220105156925,0.8246450201400611,0.5026072638283373,,,0.5837769380881962
GNN (GINE),0.6872832557306122,0.42138873297727325,0.3857915126365989,0.4054589403063036,0.4576852942224106,0.8218914978878037,0.42292278912747244,0.7900000000000001,,0.5414281300024247
